max_hover,scroll_reversals,scroll_sample_count,has_technical_selection,loyalty_tier,label
6.3943,0,0,1,1,loyalty_recognition
1.025,1,8,0,1,loyalty_recognition
0.065,1,2,1,1,none
3.5898,4,5,0,0,price_hesitation
0.7979,1,3,0,0,none
9.3665,1,10,0,1,loyalty_recognition
4.0116,0,1,0,0,loyalty_recognition
4.9923,7,10,1,1,loyalty_recognition
3.8162,6,7,1,0,price_hesitation
5.0768,0,1,0,0,none
1.6155,0,8,0,0,none
8.1602,2,8,1,0,technical_friction
6.4988,6,7,0,1,loyalty_recognition
6.6898,2,3,1,0,technical_friction
0.9693,5,6,0,0,none
9.2327,6,7,1,0,technical_friction
7.8513,3,4,0,0,price_hesitation
0.6096,0,5,1,0,price_hesitation
0.6796,2,3,1,0,loyalty_recognition
9.3471,2,3,1,0,technical_friction
4.5829,1,9,1,1,loyalty_recognition
0.0782,4,8,0,1,none
8.461,0,1,0,1,loyalty_recognition
9.798,1,2,0,0,none
1.4905,0,0,0,1,loyalty_recognition
1.2745,3,4,0,0,none
9.7384,1,2,0,0,price_hesitation
3.3219,3,6,1,0,price_hesitation
6.6003,5,6,1,1,loyalty_recognition
4.3456,4,5,0,0,price_hesitation
6.7063,4,5,1,0,technical_friction
1.9184,6,10,0,0,none
6.5885,3,4,0,0,price_hesitation
6.1127,0,1,0,0,none
4.9438,2,3,0,1,loyalty_recognition
4.6455,3,8,0,1,loyalty_recognition
5.4787,1,2,0,0,none
6.2675,3,4,1,0,technical_friction
4.1487,4,5,0,1,loyalty_recognition
8.3573,7,8,0,0,price_hesitation
0.8395,2,6,0,1,none
8.3491,0,7,0,1,loyalty_recognition
6.2134,2,3,0,1,loyalty_recognition
7.4793,0,1,0,1,loyalty_recognition
6.7735,5,6,0,1,loyalty_recognition
6.4754,0,0,0,1,loyalty_recognition
9.6079,7,10,0,0,price_hesitation
1.8184,2,3,0,0,none
4.0643,3,8,0,0,price_hesitation
5.5039,4,5,1,0,technical_friction
5.9679,0,1,1,0,technical_friction
1.2658,0,0,0,0,none
1.2628,1,7,0,0,none
5.7702,0,10,1,0,technical_friction
5.8853,4,6,0,1,loyalty_recognition
6.8937,4,7,1,0,technical_friction
9.0841,1,2,1,0,technical_friction
3.0409,4,6,0,0,price_hesitation
0.2075,4,10,0,0,none
4.9547,6,10,0,0,price_hesitation
9.2767,6,7,1,0,technical_friction
7.166,4,8,0,0,price_hesitation
7.8772,0,4,1,0,technical_friction
3.4512,7,8,0,0,price_hesitation
9.6482,1,2,0,0,none
0.1535,1,2,0,0,none
6.4984,4,5,0,0,price_hesitation
9.7834,1,10,0,0,none
3.8254,3,10,0,0,price_hesitation
6.9031,4,7,1,0,technical_friction
7.7831,0,0,0,0,none
7.7574,2,3,1,1,loyalty_recognition
4.4082,5,9,0,1,technical_friction
1.1517,0,1,0,1,loyalty_recognition
3.9741,5,8,1,0,price_hesitation
6.1008,1,10,0,0,price_hesitation
6.9648,6,8,0,0,price_hesitation
6.4483,0,0,1,0,technical_friction
9.4901,1,7,0,0,none
5.8638,2,3,0,0,none
1.0993,0,0,1,0,none
2.3793,0,5,1,1,loyalty_recognition
1.0905,3,8,0,1,loyalty_recognition
4.4356,0,1,0,1,loyalty_recognition
5.4836,4,5,0,0,price_hesitation
7.2961,4,5,1,0,none
5.8647,7,8,1,1,loyalty_recognition
2.7857,2,3,0,0,none
9.2154,0,5,1,1,loyalty_recognition
3.7619,5,7,1,0,price_hesitation
2.7317,1,8,1,1,loyalty_recognition
1.3723,3,4,1,1,none
3.5417,0,6,0,0,none
9.662,1,2,0,0,none
5.2396,4,6,0,1,loyalty_recognition
1.4644,2,3,0,0,none
6.8113,5,9,0,0,price_hesitation
0.903,8,9,0,0,none
9.9099,7,8,0,0,price_hesitation
0.815,2,10,0,0,none
5.2639,6,10,0,1,loyalty_recognition
6.1803,6,9,1,1,loyalty_recognition
4.6902,2,3,0,0,none
1.997,2,9,0,1,loyalty_recognition
0.9171,2,3,0,0,none
0.2819,0,1,0,1,none
6.9607,1,2,0,1,loyalty_recognition
9.4023,8,9,0,0,price_hesitation
6.6437,0,1,0,1,loyalty_recognition
9.8833,0,8,0,0,price_hesitation
7.3519,2,5,1,0,technical_friction
7.7619,0,7,1,1,loyalty_recognition
1.911,0,5,0,0,none
9.7372,6,7,0,0,price_hesitation
3.5155,0,0,0,0,none
6.3947,0,0,0,0,none
5.1309,2,10,0,1,technical_friction
0.7689,1,2,0,0,none
5.1775,1,8,1,0,technical_friction
0.8779,5,10,0,0,none
5.5165,1,9,1,0,price_hesitation
8.7796,2,8,0,1,loyalty_recognition
2.8405,0,1,1,0,none
6.1443,0,1,0,0,none
6.2448,5,9,0,0,price_hesitation
8.0469,6,10,1,1,loyalty_recognition
4.6647,3,4,1,1,loyalty_recognition
7.2113,2,3,0,0,none
9.6669,2,3,1,0,loyalty_recognition
8.8246,4,5,0,0,loyalty_recognition
6.1104,1,2,0,0,none
5.0912,0,8,1,1,loyalty_recognition
7.3932,3,4,0,0,price_hesitation
5.837,0,10,0,0,none
2.422,1,9,1,0,none
3.2505,7,10,0,0,price_hesitation
5.6049,3,4,1,0,technical_friction
4.4238,3,4,1,0,technical_friction
9.0518,2,3,1,0,technical_friction
4.0691,6,7,0,0,price_hesitation
4.9538,0,4,1,0,loyalty_recognition
4.9391,1,2,0,1,loyalty_recognition
7.186,0,0,0,0,none
7.5728,1,2,0,0,none
3.236,0,3,1,1,loyalty_recognition
0.1144,5,10,0,1,none
4.5498,5,9,0,0,price_hesitation
1.6454,7,8,1,1,loyalty_recognition
5.7831,0,0,1,1,loyalty_recognition
9.9412,0,1,1,0,technical_friction
9.7833,6,10,0,0,loyalty_recognition
6.735,6,8,0,0,price_hesitation
4.4644,0,10,1,1,loyalty_recognition
8.1838,2,3,0,0,none
7.3521,1,2,0,1,loyalty_recognition
4.1632,1,2,0,0,none
8.0578,0,0,0,0,none
5.2999,3,6,1,0,technical_friction
0.7278,8,9,1,1,none
3.5964,6,7,1,0,none
1.5241,3,5,0,0,none
1.6927,7,8,1,0,none
6.6675,7,9,0,1,loyalty_recognition
5.2646,4,5,0,1,loyalty_recognition
0.3168,5,6,0,0,none
8.6812,7,9,1,0,technical_friction
3.8916,5,8,0,0,price_hesitation
6.3412,6,7,1,0,technical_friction
1.0655,0,0,0,0,none
1.0223,0,1,0,0,none
0.8962,1,8,0,0,none
3.8073,1,2,1,0,none
7.8267,4,5,0,0,price_hesitation
3.2954,4,5,0,0,price_hesitation
6.329,3,9,1,0,technical_friction
8.3128,0,1,0,1,loyalty_recognition
1.5414,5,6,1,0,none
6.6469,0,2,0,0,none
7.9623,0,1,1,1,loyalty_recognition
6.8766,2,3,0,0,none
9.2055,0,1,0,0,none
7.8427,7,8,1,1,loyalty_recognition
5.5985,3,7,0,0,price_hesitation
7.5233,0,1,0,0,none
1.1395,7,10,0,0,none
4.1824,1,2,0,0,none
1.403,4,5,0,0,none
8.3989,2,7,1,1,loyalty_recognition
1.1321,0,1,0,0,none
0.4161,6,7,1,0,none
5.8792,4,5,1,1,loyalty_recognition
9.524,1,8,1,0,technical_friction
6.7623,2,7,0,0,none
9.5025,0,5,0,0,none
3.9772,3,6,0,0,price_hesitation
8.367,0,0,0,1,loyalty_recognition
4.5652,3,6,0,0,price_hesitation
6.256,2,3,0,0,none
0.0929,1,5,0,0,none
2.9926,2,6,0,0,none
6.1608,3,7,1,1,loyalty_recognition
6.0759,0,0,1,0,technical_friction
1.8865,4,6,0,0,none
3.1647,5,6,0,0,price_hesitation
